Time,BreathingWaveform
26/08/2019 14:24:34.423,0
26/08/2019 14:24:34.463,0
26/08/2019 14:24:34.503,0
26/08/2019 14:24:34.543,0
26/08/2019 14:24:34.583,0
26/08/2019 14:24:34.623,0
26/08/2019 14:24:34.663,0
26/08/2019 14:24:34.703,0
26/08/2019 14:24:34.743,0
26/08/2019 14:24:34.783,0
26/08/2019 14:24:34.823,0
26/08/2019 14:24:34.863,0
26/08/2019 14:24:34.903,0
26/08/2019 14:24:34.943,0
26/08/2019 14:24:34.983,0
26/08/2019 14:24:35.023,0
26/08/2019 14:24:35.063,0
26/08/2019 14:24:35.103,0
26/08/2019 14:24:35.143,0
26/08/2019 14:24:35.183,0
26/08/2019 14:24:35.223,0
26/08/2019 14:24:35.263,0
26/08/2019 14:24:35.303,0
26/08/2019 14:24:35.343,0
26/08/2019 14:24:35.383,0
26/08/2019 14:24:35.423,0
26/08/2019 14:24:35.463,0
26/08/2019 14:24:35.503,0
26/08/2019 14:24:35.543,0
26/08/2019 14:24:35.583,0
26/08/2019 14:24:35.623,0
26/08/2019 14:24:35.663,0
26/08/2019 14:24:35.703,0
26/08/2019 14:24:35.743,0
26/08/2019 14:24:35.783,0
26/08/2019 14:24:35.823,0
26/08/2019 14:24:35.863,0
26/08/2019 14:24:35.903,0
26/08/2019 14:24:35.943,0
26/08/2019 14:24:35.983,0
26/08/2019 14:24:36.023,0
26/08/2019 14:24:36.063,0
26/08/2019 14:24:36.103,0
26/08/2019 14:24:36.143,0
26/08/2019 14:24:36.183,0
26/08/2019 14:24:36.223,0
26/08/2019 14:24:36.263,0
26/08/2019 14:24:36.303,0
26/08/2019 14:24:36.343,0
26/08/2019 14:24:36.383,0
26/08/2019 14:24:36.423,0
26/08/2019 14:24:36.463,0
26/08/2019 14:24:36.503,0
26/08/2019 14:24:36.543,0
26/08/2019 14:24:36.583,0
26/08/2019 14:24:36.623,0
26/08/2019 14:24:36.663,0
26/08/2019 14:24:36.703,0
26/08/2019 14:24:36.743,0
26/08/2019 14:24:36.783,0
26/08/2019 14:24:36.823,0
26/08/2019 14:24:36.863,0
26/08/2019 14:24:36.903,0
26/08/2019 14:24:36.943,0
26/08/2019 14:24:36.983,0
26/08/2019 14:24:37.023,0
26/08/2019 14:24:37.063,0
26/08/2019 14:24:37.103,0
26/08/2019 14:24:37.143,0
26/08/2019 14:24:37.183,0
26/08/2019 14:24:37.223,0
26/08/2019 14:24:37.263,0
26/08/2019 14:24:37.303,0
26/08/2019 14:24:37.343,0
26/08/2019 14:24:37.383,0
26/08/2019 14:24:37.423,0
26/08/2019 14:24:37.463,0
26/08/2019 14:24:37.503,0
26/08/2019 14:24:37.543,0
26/08/2019 14:24:37.583,0
26/08/2019 14:24:37.623,0
26/08/2019 14:24:37.663,0
26/08/2019 14:24:37.703,0
26/08/2019 14:24:37.743,0
26/08/2019 14:24:37.783,0
26/08/2019 14:24:37.823,0
26/08/2019 14:24:37.863,0
26/08/2019 14:24:37.903,0
26/08/2019 14:24:37.943,0
26/08/2019 14:24:37.983,0
26/08/2019 14:24:38.023,0
26/08/2019 14:24:38.063,0
26/08/2019 14:24:38.103,0
26/08/2019 14:24:38.143,0
26/08/2019 14:24:38.183,0
26/08/2019 14:24:38.223,0
26/08/2019 14:24:38.263,0
26/08/2019 14:24:38.303,0
26/08/2019 14:24:38.343,0
26/08/2019 14:24:38.383,0
26/08/2019 14:24:38.423,0
26/08/2019 14:24:38.463,0
26/08/2019 14:24:38.503,0
26/08/2019 14:24:38.543,0
26/08/2019 14:24:38.583,0
26/08/2019 14:24:38.623,0
26/08/2019 14:24:38.663,0
26/08/2019 14:24:38.703,0
26/08/2019 14:24:38.743,0
26/08/2019 14:24:38.783,0
26/08/2019 14:24:38.823,0
26/08/2019 14:24:38.863,0
26/08/2019 14:24:38.903,0
26/08/2019 14:24:38.943,0
26/08/2019 14:24:38.983,0
26/08/2019 14:24:39.023,0
26/08/2019 14:24:39.063,0
26/08/2019 14:24:39.103,0
26/08/2019 14:24:39.143,0
26/08/2019 14:24:39.183,0
26/08/2019 14:24:39.223,0
26/08/2019 14:24:39.263,5628126
26/08/2019 14:24:39.303,5613613
26/08/2019 14:24:39.343,5606233
26/08/2019 14:24:39.383,5604831
26/08/2019 14:24:39.423,5609916
26/08/2019 14:24:39.463,5617516
26/08/2019 14:24:39.503,5628305
26/08/2019 14:24:39.543,5628112
26/08/2019 14:24:39.583,5567614
26/08/2019 14:24:39.623,5512077
26/08/2019 14:24:39.663,5490665
26/08/2019 14:24:39.703,5483849
26/08/2019 14:24:39.743,5480413
26/08/2019 14:24:39.783,5478860
26/08/2019 14:24:39.823,5480921
26/08/2019 14:24:39.863,5486061
26/08/2019 14:24:39.903,5490721
26/08/2019 14:24:39.943,5495132
26/08/2019 14:24:39.983,5497853
26/08/2019 14:24:40.023,5507900
26/08/2019 14:24:40.063,5517382
26/08/2019 14:24:40.103,5518688
26/08/2019 14:24:40.143,5509906
26/08/2019 14:24:40.183,5502512
26/08/2019 14:24:40.223,5494775
26/08/2019 14:24:40.263,5500038
26/08/2019 14:24:40.303,5509755
26/08/2019 14:24:40.343,5507831
26/08/2019 14:24:40.383,5500753
26/08/2019 14:24:40.423,5502072
26/08/2019 14:24:40.463,5512435
26/08/2019 14:24:40.503,5520310
26/08/2019 14:24:40.543,5526769
26/08/2019 14:24:40.583,5532266
26/08/2019 14:24:40.623,5536678
26/08/2019 14:24:40.663,5541708
26/08/2019 14:24:40.703,5534837
26/08/2019 14:24:40.743,5450370
26/08/2019 14:24:40.783,5390463
26/08/2019 14:24:40.823,5364488
26/08/2019 14:24:40.863,5364653
26/08/2019 14:24:40.903,5394022
